code,system
10094,gprdproduct
18098,gprdproduct
11785,gprdproduct
11976,gprdproduct
14963,gprdproduct
1212,gprdproduct
1214,gprdproduct
1324,gprdproduct
5216,gprdproduct
1215,gprdproduct
17813,gprdproduct
18126,gprdproduct
2435,gprdproduct
3089,gprdproduct
7551,gprdproduct
8706,gprdproduct
1217,gprdproduct
12211,gprdproduct
4067,gprdproduct
8104,gprdproduct
8366,gprdproduct
8834,gprdproduct
14379,gprdproduct
5390,gprdproduct
7540,gprdproduct
9491,gprdproduct
1716,gprdproduct
1764,gprdproduct
17614,gprdproduct
23153,gprdproduct
29213,gprdproduct
33603,gprdproduct
17824,gprdproduct
37266,gprdproduct
37953,gprdproduct
18081,gprdproduct
5564,gprdproduct
184,gprdproduct
31221,gprdproduct
33944,gprdproduct
42801,gprdproduct
602,gprdproduct
19938,gprdproduct
6155,gprdproduct
2215,gprdproduct
4062,gprdproduct
23956,gprdproduct
2662,gprdproduct
3204,gprdproduct
24084,gprdproduct
32110,gprdproduct
24583,gprdproduct
7544,gprdproduct
29328,gprdproduct
34181,gprdproduct
41396,gprdproduct
3159,gprdproduct
47935,gprdproduct
31783,gprdproduct
40729,gprdproduct
3318,gprdproduct
34201,gprdproduct
39420,gprdproduct
39576,gprdproduct
34277,gprdproduct
8082,gprdproduct
40885,gprdproduct
4920,gprdproduct
4928,gprdproduct
6120,gprdproduct
653,gprdproduct
6365,gprdproduct
644,gprdproduct
6572,gprdproduct
9639,gprdproduct
9716,gprdproduct
